order_id,date_order,customer_name,country,product_category,product_name,quantity,unit_price,total_amount,status
SO0324,2025-01-01 00:00:00,Consultoría Global,Chile,Servicios Cloud,Migración de Servidores,12,793.73,9524.76,Sale
SO0932,2025-01-01 00:00:00,Logística Express,España,Consultoría,Optimización de Procesos,13,1306.4,16983.2,Sale
SO0937,2025-01-01 00:00:00,Grupo Constructor,Chile,Consultoría,Optimización de Procesos,12,819.07,9828.84,Sale
SO0094,2025-01-02 00:00:00,Grupo Constructor,México,Servicios Cloud,Suscripción Anual AWS,4,663.46,2653.84,Draft
SO0172,2025-01-02 00:00:00,Startup Innova,Colombia,Soporte Técnico,Bolsa de 50h,17,884.86,15042.62,Sale
SO0179,2025-01-02 00:00:00,Grupo Constructor,México,Hardware,Servidor Dell PowerEdge,16,740.29,11844.64,Sale
SO0798,2025-01-02 00:00:00,Logística Express,Colombia,Servicios Cloud,Migración de Servidores,10,1201.69,12016.9,Cancelled
SO0831,2025-01-02 00:00:00,Consultoría Global,México,Hardware,Portátil Lenovo ThinkPad,15,567.85,8517.75,Cancelled
SO0116,2025-01-03 00:00:00,Industrias XYZ,México,Licencias Software,Antivirus Corporativo,18,982.31,17681.58,Cancelled
SO0131,2025-01-03 00:00:00,Consultoría Global,Argentina,Licencias Software,Antivirus Corporativo,2,674.66,1349.32,Draft
SO0555,2025-01-03 00:00:00,Industrias XYZ,Colombia,Licencias Software,Licencia Windows Server,3,1139.66,3418.98,Sale
SO0881,2025-01-03 00:00:00,Tech Solutions,México,Servicios Cloud,Backup Cloud,20,1422.13,28442.6,Draft
SO0225,2025-01-04 00:00:00,Grupo Constructor,Argentina,Hardware,Switch Cisco,18,1007.42,18133.56,Sale
SO0653,2025-01-05 00:00:00,Comercial Sur,Colombia,Consultoría,Diseño de Arquitectura,17,1356.38,23058.46,Sale
SO0182,2025-01-06 00:00:00,Startup Innova,Argentina,Licencias Software,Licencia Windows Server,19,275.9,5242.1,Sale
SO0649,2025-01-06 00:00:00,Tech Solutions,España,Consultoría,Optimización de Procesos,20,1306.86,26137.2,Sale
SO0879,2025-01-06 00:00:00,Industrias XYZ,Colombia,Servicios Cloud,Suscripción Anual AWS,11,339.04,3729.44,Sale
